plant_id,name,type,latitude,longitude,nearest_river_node_id,snap_distance_m
WTW_node_1125484586,Kirkhill Wastewater Treatment Plant,wastewater_plant,57.4749082,-4.3956487,NODE_256284.950000_845094.250000,237.96
WTW_node_1125484712,Unnamed Facility (1125484712),wastewater_plant,57.4720211,-4.3915081,NODE_256284.950000_845094.250000,420.37
WTW_node_1380919388,Elton River Lane terminal Pumping Station,water_works,52.5329624,-0.4025985,NODE_508385.770000_293968.170000,67.38
WTW_node_1417026076,Melbury,water_works,50.9583638,-4.2973936,NODE_238721.580000_120117.250000,63.68
WTW_node_1428838813,Brighouse Waste Water Treatment Works,wastewater_plant,53.6826173,-1.7330867,NODE_417609.790000_420616.360000,153.58
WTW_node_1519760998,Unnamed Facility (1519760998),water_works,55.6903766,-3.4448428,NODE_309120.550000_645183.210000,200.8
WTW_node_1673244436,Luckett sewage works,wastewater_plant,50.5409345,-4.2724846,NODE_239245.010000_73600.360000,202.08
WTW_node_1691210576,Baggs Mill River Flow Rate Station,water_works,50.6880965,-2.1243285,NODE_391199.690000_87771.390000,194.46
WTW_node_1701534438,Lake Lane Waste Water treatment,wastewater_plant,50.4539687,-4.4500369,NODE_226400.290000_64244.530000,298.01
WTW_node_1759004797,Avon Chapel Pill,water_works,51.4810201,-2.6542778,NODE_354851.690000_175842.560000,239.4
WTW_node_2011658437,Fleets Lane Distribution Site,water_works,50.7358016,-1.9867747,NODE_400812.370000_93075.950000,272.41
WTW_node_2321087337,"Pill Head, Pilning Pumping Station",water_works,51.5711574,-2.6515718,NODE_354614.150000_186310.000000,441.46
WTW_node_2321087368,Chestle Pill Outfall,water_works,51.5738358,-2.6562826,NODE_354614.150000_186310.000000,2.17
WTW_node_2392913443,Park North SPS,wastewater_plant,51.5627767,-1.7456759,NODE_418147.070000_184676.330000,481.21
WTW_node_2696832872,Unnamed Facility (2696832872),wastewater_plant,50.4960471,-4.1953046,NODE_244494.720000_68443.600000,148.25
WTW_node_2807541653,New Pill Outfall,water_works,51.544666,-2.6708806,NODE_353569.130000_183078.390000,4.8
WTW_node_2917842399,Water Treatment Works,water_works,56.223138,-5.0927402,NODE_208385.970000_707701.650000,33.42
WTW_node_2937263337,Unnamed Facility (2937263337),water_works,52.8267919,-4.1066547,NODE_258161.620000_327615.230000,63.15
WTW_node_3580662094,Ram Pump,water_works,53.1981308,-0.0203704,NODE_532279.180000_368637.410000,65.42
WTW_node_3770321340,Unnamed Facility (3770321340),wastewater_plant,50.2355486,-3.8074291,NODE_271315.360000_38708.100000,182.59
WTW_node_3772549500,Unnamed Facility (3772549500),water_works,50.2409687,-3.7688267,NODE_274125.070000_39521.670000,209.64
WTW_node_3813701988,Unnamed Facility (3813701988),water_works,55.9834031,-4.3190334,NODE_255710.400000_678802.450000,451.82
WTW_node_3935766528,Billy Kirkham Sluice,water_works,52.7830987,0.3714116,NODE_560122.220000_323400.920000,179.01
WTW_node_4005674656,Unnamed Facility (4005674656),water_works,57.398101,-5.8037308,NODE_171350.270000_840683.810000,237.46
WTW_node_4352533331,Pumping Station,water_works,52.0155707,-0.9631566,NODE_471315.350000_235734.150000,64.22
WTW_node_4693319021,Unnamed Facility (4693319021),water_works,51.7068489,-4.6961455,NODE_213663.440000_204659.610000,350.2
WTW_node_4773265430,Unnamed Facility (4773265430),water_works,50.6914072,-1.3098183,NODE_448785.560000_88168.340000,69.89
WTW_node_4774581421,Unnamed Facility (4774581421),water_works,50.69124,-1.3107324,NODE_448785.560000_88168.340000,14.09
WTW_node_5018005639,Keldhead Water Treatment Plant,wastewater_plant,54.2495035,-0.7932396,NODE_478408.600000_484049.240000,495.26
WTW_node_5111221085,Unnamed Facility (5111221085),water_works,50.7608645,-1.289417,NODE_450009.510000_96090.820000,254.96
WTW_node_5213164221,Unnamed Facility (5213164221),water_works,56.676214,-5.189305,NODE_204644.500000_757912.000000,469.09
WTW_node_5264212501,Unnamed Facility (5264212501),water_works,50.664584,-1.1767508,NODE_458300.060000_85278.380000,41.81
WTW_node_5264390167,Unnamed Facility (5264390167),water_works,50.6671503,-1.1845386,NODE_457922.260000_85527.520000,207.31
WTW_node_5264438865,Unnamed Facility (5264438865),water_works,50.6701389,-1.2085095,NODE_455972.290000_85847.520000,82.45
WTW_node_5437990693,Unnamed Facility (5437990693),water_works,50.6755435,-1.2857444,NODE_450605.000000_86396.640000,69.72
WTW_node_5468673920,Essex & Suffolk Waterworks,water_works,52.6940512,1.4899338,NODE_635931.470000_316028.440000,391.31
WTW_node_6018247899,Unnamed Facility (6018247899),wastewater_plant,51.7348568,-4.7069264,NODE_213344.280000_207687.400000,260.69
WTW_node_6071177182,Timbersbrook Wastewater Treatment Works,wastewater_plant,53.1622422,-2.1587892,NODE_389577.410000_362712.490000,131.1
WTW_node_6099201237,Filter Beds,wastewater_plant,50.641009,-1.2585354,NODE_452919.690000_82813.360000,433.76
WTW_node_6099201259,Unnamed Facility (6099201259),wastewater_plant,50.6159032,-1.2738521,NODE_451446.310000_79979.210000,151.33
WTW_node_6099201260,Unnamed Facility (6099201260),wastewater_plant,50.6160249,-1.2742209,NODE_451446.310000_79979.210000,136.23
WTW_node_6099201261,Filter Beds,wastewater_plant,50.6160709,-1.2739366,NODE_451446.310000_79979.210000,132.05
WTW_node_6130648523,Unnamed Facility (6130648523),water_works,50.6781296,-1.099754,NODE_463494.270000_87178.770000,360.85
WTW_node_6254279979,Mina Road CSO,water_works,51.4734127,-2.577513,NODE_359992.740000_175215.540000,118.49
WTW_node_6325527445,Monkton Mead Pumping Station,water_works,50.7310854,-1.1516577,NODE_459974.390000_92863.380000,133.98
WTW_node_7015781601,Unnamed Facility (7015781601),water_works,51.6147194,-2.9527785,NODE_334174.200000_191276.720000,197.84
WTW_node_7370076367,Unnamed Facility (7370076367),wastewater_plant,56.1413167,-3.3193034,NODE_318195.920000_695089.920000,80.14
WTW_node_8007463652,Fender Mine Water Treatment Scheme,wastewater_plant,53.2699587,-1.4498463,NODE_437273.790000_374970.470000,488.6
WTW_node_8199753983,Unnamed Facility (8199753983),wastewater_plant,58.8276943,-2.952871,NODE_344609.140000_993605.910000,493.87
WTW_node_8541035105,WW2 RAF Davidstow Water Pumping Station,water_works,50.6536445,-4.6134877,NODE_215199.810000_86999.500000,160.66
WTW_node_8541162436,WW2 RAF Davidstow Sewage Disposal,wastewater_plant,50.649177,-4.6212741,NODE_214836.340000_86473.060000,96.9
WTW_node_8664658608,Unnamed Facility (8664658608),water_works,50.7028454,-1.413787,NODE_441545.300000_89487.000000,93.02
WTW_node_8665209823,Sutton Courtenay Pumping Station,water_works,51.647677,-1.2536596,NODE_451373.490000_194771.410000,407.12
WTW_node_8749757716,Unnamed Facility (8749757716),wastewater_plant,53.4666939,-1.2782983,NODE_448003.810000_396984.160000,82.65
WTW_node_8806118829,Unnamed Facility (8806118829),water_works,53.7496584,-2.7184677,NODE_352832.970000_428361.010000,115.78
WTW_node_8989559733,Worthington Water Treatment Works,water_works,53.5874262,-2.6349002,NODE_358159.300000_410350.010000,114.93
WTW_node_9151162374,Unnamed Facility (9151162374),water_works,51.8189877,-0.1902738,NODE_524597.690000_214839.220000,249.18
WTW_node_9532470843,Cotton of Balgownie Wastewater Pumping Station,wastewater_plant,57.1774016,-2.0982222,NODE_394132.880000_809659.500000,44.33
WTW_node_9591588469,Unnamed Facility (9591588469),water_works,50.6257537,-1.2263972,NODE_454700.180000_80941.410000,116.95
WTW_node_9871856107,Unnamed Facility (9871856107),wastewater_plant,57.8864134,-4.0618317,NODE_277768.120000_890552.710000,157.15
WTW_node_9922290518,Colony Marsh pumping station,water_works,52.0551228,1.4727581,NODE_638189.090000_245316.240000,14.64
WTW_node_10203456712,Unnamed Facility (10203456712),wastewater_plant,58.5005047,-6.2719444,NODE_151304.040000_964735.810000,138.31
WTW_node_10601660437,Unnamed Facility (10601660437),water_works,51.6862985,-1.3611232,NODE_444342.440000_199005.410000,213.03
WTW_node_11172010626,Cappagh Browne,wastewater_plant,50.8515989,0.5217074,NODE_577579.330000_108848.560000,37.37
WTW_node_11913744000,Green Water Box,water_works,52.3398583,-3.8580561,NODE_273508.440000_272924.660000,8.55
WTW_node_11942785496,Water Treatment Plant,water_works,50.8519917,-2.949559,NODE_333335.660000_106106.160000,175.6
WTW_node_12102607579,Unnamed Facility (12102607579),water_works,51.2815264,-2.7703477,NODE_346282.060000_153838.030000,96.43
WTW_node_12138528443,Unnamed Facility (12138528443),water_works,51.6267932,-2.9698068,NODE_332548.440000_192476.400000,418.79
WTW_node_12239943422,Unnamed Facility (12239943422),water_works,51.5430252,0.0754894,NODE_543617.970000_184814.330000,414.1
WTW_node_12239943423,Unnamed Facility (12239943423),water_works,51.5428878,0.0747406,NODE_543617.970000_184814.330000,368.7
WTW_node_13571311056,Unnamed Facility (13571311056),water_works,53.1178265,-2.6707419,NODE_355353.420000_357783.700000,312.17
WTW_node_13588423288,Unnamed Facility (13588423288),wastewater_plant,51.2034599,-2.667194,NODE_353298.210000_144848.510000,336.19
WTW_node_13652794946,Atherfield drive waste water pumping station,wastewater_plant,51.1474195,0.8669884,NODE_600412.530000_142348.660000,319.52
WTW_node_13685514912,Unnamed Facility (13685514912),water_works,52.0570372,-0.710503,NODE_488168.730000_240939.210000,456.88
WTW_way_4707314,Yardley Hastings STW,wastewater_plant,52.2081918,-0.7323681,NODE_486521.060000_257346.860000,207.71
WTW_way_4732687,Ashford Wastewater Treatment Works,wastewater_plant,51.1534736,0.8890503,NODE_602174.750000_143674.920000,351.76
WTW_way_5110847,Long Reach Sewage Treatment Works,wastewater_plant,51.4678385,0.2353543,NODE_555546.320000_176673.170000,185.23
WTW_way_7917122,Newbridge Waste Water Treatment Works,wastewater_plant,55.9434272,-3.3992071,NODE_313133.280000_673359.100000,475.91
WTW_way_19802292,Pixham Sewage Treatment Works,wastewater_plant,51.2413378,-0.3155349,NODE_517433.780000_150807.020000,411.23
WTW_way_20198136,Godstone WTW,wastewater_plant,51.236415,-0.0452199,NODE_536334.580000_150648.410000,338.54
WTW_way_20203304,Shamley Green STW,wastewater_plant,51.1843102,-0.5407992,NODE_502199.750000_144002.440000,235.75
WTW_way_21150924,Warrington North Wastewater Treatment Works,wastewater_plant,53.3785108,-2.6276674,NODE_358217.420000_387404.070000,391.78
WTW_way_21384249,Woking Sewage Treatment Works,wastewater_plant,51.3070314,-0.5247609,NODE_503417.560000_157469.860000,489.68
WTW_way_21384960,Ripley STW,wastewater_plant,51.3035447,-0.5039347,NODE_504503.540000_157326.900000,246.27
WTW_way_22589785,Hornsey Water Treatment Works,water_works,51.5935172,-0.1180256,NODE_530613.250000_189739.920000,280.16
WTW_way_22780228,Unnamed Facility (22780228),wastewater_plant,55.7799731,-4.1341987,NODE_266138.140000_656519.380000,398.76
WTW_way_22916881,Edenbridge WTW,wastewater_plant,51.2043477,0.0785342,NODE_545269.000000_146825.940000,244.13
WTW_way_22973957,Salisbury Wastewater Plant,wastewater_plant,51.0577142,-1.773318,NODE_415861.920000_128637.230000,154.24
WTW_way_23002484,Horley (Surrey) WWTW,wastewater_plant,51.1782288,-0.1858335,NODE_526801.550000_143514.410000,190.68
WTW_way_23070525,Riverside Sewage Treatment Works,wastewater_plant,51.5183964,0.1811081,NODE_551875.560000_182219.310000,449.55
WTW_way_23071896,Calder Vale/STW,wastewater_plant,53.6777904,-1.480793,NODE_434360.180000_419845.100000,426.77
WTW_way_23322748,Blackburn Meadows Wastewater Treatment Works,wastewater_plant,53.421486,-1.4018815,NODE_440036.210000_391441.380000,402.6
WTW_way_23338349,Chickenhall Eastleigh WTW,wastewater_plant,50.9614871,-1.3377561,NODE_446808.840000_118346.140000,241.88
WTW_way_23432588,Middleton Stoney Wastewater Treatment Works,wastewater_plant,51.9086901,-1.2196176,NODE_453822.010000_223658.140000,47.56
WTW_way_23451418,Kempton Park Water Treatment Works,water_works,51.4269252,-0.4027671,NODE_510840.330000_170756.750000,373.35
WTW_way_23646219,Bedford Sewage Treatment Works,wastewater_plant,52.1337815,-0.4185853,NODE_508002.820000_249760.100000,386.72
WTW_way_23715347,Mill Green Sewage Treatment Works,wastewater_plant,51.7747326,-0.1977368,NODE_524022.760000_209823.800000,448.25
WTW_way_23762039,Lancaster (Stodday) STW,wastewater_plant,54.0235402,-2.8246826,NODE_345670.470000_459117.750000,441.06
WTW_way_25476377,Unnamed Facility (25476377),wastewater_plant,52.0294724,1.1330167,NODE_615228.130000_241562.060000,256.28
WTW_way_25919094,Pirbright (Hockford) STW,wastewater_plant,51.2788444,-0.6256128,NODE_496132.570000_154408.270000,274.57
WTW_way_26183247,Shalford Water Treatment Works,water_works,51.2211319,-0.5719737,NODE_499705.410000_148019.010000,205.14
WTW_way_26322965,Lingfield WTW,wastewater_plant,51.1875801,-0.0165355,NODE_538386.910000_145184.200000,362.16
WTW_way_26696774,Teversham STW,wastewater_plant,52.2022465,0.2076757,NODE_551087.560000_258019.780000,303.44
WTW_way_27231710,Kilbury Water Treatment Works,wastewater_plant,50.4792789,-3.7630754,NODE_274789.170000_66151.190000,352.74
WTW_way_27997362,Unnamed Facility (27997362),wastewater_plant,52.5791529,-1.1831859,NODE_455174.050000_298532.680000,401.12
WTW_way_28155359,Fringford STW,wastewater_plant,51.9566648,-1.1150804,NODE_461212.610000_228818.500000,387.63
WTW_way_28164376,Hurdcott STW,wastewater_plant,51.1026532,-1.7637894,NODE_416834.120000_133756.550000,201.12
WTW_way_28221565,Esholt Waste Water Treatment Works,wastewater_plant,53.857418,-1.7181742,NODE_418164.550000_440062.120000,482.13
WTW_way_28232921,Wishford,wastewater_plant,51.1024739,-1.878867,NODE_408699.380000_133983.270000,314.5
WTW_way_28249540,Croston Wastewater Treatment Works,wastewater_plant,53.6624496,-2.7884123,NODE_347637.180000_418764.950000,363.82
WTW_way_29183008,Burton-in-Lonsdale STW,wastewater_plant,54.1423357,-2.5369229,NODE_365461.530000_472029.660000,444.1
WTW_way_29874260,Toton STW,wastewater_plant,52.9003015,-1.2435655,NODE_450800.510000_333610.570000,354.65
WTW_way_30066167,Unnamed Facility (30066167),wastewater_plant,53.265844,-2.6483047,NODE_356962.180000_374463.610000,116.36
WTW_way_30075269,Unnamed Facility (30075269),wastewater_plant,54.0549335,-2.2949645,NODE_380948.740000_462186.190000,165.33
WTW_way_30140222,Southport (Bank End) STW,wastewater_plant,53.678887,-2.9558549,NODE_337052.260000_420930.140000,255.54
WTW_way_30340370,Wootton Wawen STW,wastewater_plant,52.2595233,-1.7824252,NODE_415031.570000_262444.990000,99.09
WTW_way_30768377,Unnamed Facility (30768377),wastewater_plant,53.4581191,-2.6992104,NODE_354104.790000_395873.800000,438.64
WTW_way_30801923,Unnamed Facility (30801923),wastewater_plant,53.3411048,-2.7772032,NODE_348497.320000_382625.150000,374.48
WTW_way_30831187,Mythe Treatment Works,water_works,52.0003017,-2.1615403,NODE_389306.790000_233328.610000,374.05
WTW_way_30931081,Unnamed Facility (30931081),wastewater_plant,53.4858111,-2.7211079,NODE_352408.260000_398576.580000,479.95
WTW_way_31258350,Unnamed Facility (31258350),wastewater_plant,54.0175077,-1.5376049,NODE_430473.810000_458295.410000,265.47
WTW_way_31317691,Coniston Waste Water Treatment Works,wastewater_plant,54.3647437,-3.0688597,NODE_330779.680000_496916.920000,230.86
WTW_way_31780027,Hillhouse Wastewater Treatment Works,wastewater_plant,53.5451879,-2.9831486,NODE_335017.640000_405957.550000,133.1
WTW_way_31799859,East Calder Waste Water Treatment Works,wastewater_plant,55.8981104,-3.4706509,NODE_307818.000000_668174.810000,319.66
WTW_way_32211627,Unnamed Facility (32211627),wastewater_plant,57.3648442,-2.0576478,NODE_396926.460000_830341.790000,329.59
WTW_way_32725402,Little Marlow WWTW,wastewater_plant,51.5782285,-0.7384522,NODE_487374.880000_187769.770000,442.64
WTW_way_32948390,Horwich Wastewater Treatment Works,wastewater_plant,53.5936034,-2.5709573,NODE_362133.410000_411015.870000,193.24
WTW_way_32949254,Rivington Water Treatment Works,water_works,53.605569,-2.5595681,NODE_363092.390000_412433.300000,178.54
WTW_way_33178002,Dereham-Rushmeadow Rd STW,wastewater_plant,52.6855487,0.9222379,NODE_597528.110000_313679.440000,121.29
WTW_way_33178014,Branscombe STW Branscombe,wastewater_plant,50.689202,-3.1258269,NODE_320494.130000_88379.950000,88.89
WTW_way_33286068,Sleet Beck WwTW,wastewater_plant,53.9583007,-2.4441829,NODE_371021.470000_451494.300000,84.23
WTW_way_33831292,Wilmslow WwTW,wastewater_plant,53.3380198,-2.2401756,NODE_383855.180000_382273.660000,268.0
WTW_way_34282459,Westfield Wastewater Treatment Works,wastewater_plant,50.9093685,0.5875267,NODE_581645.780000_115317.450000,369.76
WTW_way_34291554,Roud WTW,wastewater_plant,50.6158035,-1.2742265,NODE_451446.310000_79979.210000,160.85
WTW_way_34336489,Sunderland Bridge STW,wastewater_plant,54.7328754,-1.5916866,NODE_426120.860000_537320.320000,403.47
WTW_way_36186580,Manningtree Sewage Works,wastewater_plant,51.9494836,1.0518422,NODE_609571.030000_232169.050000,278.25
WTW_way_36363314,Eign Wastewater Treatment Works,wastewater_plant,52.0450589,-2.7006503,NODE_352021.440000_238403.100000,346.69
WTW_way_36933049,Mitchell Laithes Waste Water Treatment Works,wastewater_plant,53.6745903,-1.6060348,NODE_425670.200000_419709.460000,478.28
WTW_way_37631751,Merlins Bridge Wastewater Treatment Works,wastewater_plant,51.7932357,-4.9647732,NODE_195740.650000_214793.330000,158.87
WTW_way_37747360,Newthorpe (STW),wastewater_plant,52.9984572,-1.2919658,NODE_447671.140000_345004.770000,209.42
WTW_way_38146447,Northumbrian Water Treatment Compound,wastewater_plant,54.5692782,-1.2718228,NODE_447518.060000_519538.910000,342.89
WTW_way_38444533,Hailsham South Wastewater Treatment Works,wastewater_plant,50.8535929,0.2708782,NODE_560176.200000_108450.160000,238.52
WTW_way_38912680,Abingdon Sewage Treatment Works,wastewater_plant,51.653788,-1.2877966,NODE_449183.080000_194972.960000,323.25
WTW_way_40147435,Marsh Mills Sewage Treatment Works,wastewater_plant,50.3888046,-4.0796467,NODE_252012.260000_56273.190000,278.3
WTW_way_40514296,Earlswood Sewage Treatment Works,wastewater_plant,51.2192762,-0.1766724,NODE_527339.000000_148533.450000,293.74
WTW_way_40945532,Nash Sewerage Treatment Works,wastewater_plant,51.5502619,-2.958533,NODE_333480.500000_184077.230000,219.29
WTW_way_41178618,Radford Waste Water Treatment Plant,wastewater_plant,50.3557869,-4.1056522,NODE_250625.230000_52659.850000,334.76
WTW_way_41201966,Torpoint STW,wastewater_plant,50.3666205,-4.2297305,NODE_241129.220000_54010.250000,452.72
WTW_way_43012024,Burstow Wastewater Treatment Works,wastewater_plant,51.1785122,-0.1346443,NODE_530362.650000_143738.460000,132.25
WTW_way_43081973,Esher Sewage Treatment Works,wastewater_plant,51.3840039,-0.3721171,NODE_513340.400000_166565.130000,314.85
WTW_way_43635773,Chichester Wastewater Treatment Plant,wastewater_plant,50.8281458,-0.8059076,NODE_483930.560000_103747.050000,286.59
WTW_way_44152201,Sewage Works,wastewater_plant,50.9516276,-0.4887466,NODE_506467.900000_118026.210000,220.12
WTW_way_45235187,Cotton Valley Sewage Works,wastewater_plant,52.0580668,-0.7091771,NODE_488168.730000_240939.210000,468.52
WTW_way_46626976,Stapleford Sewage Treatment Works,wastewater_plant,52.918328,-1.2763648,NODE_448274.940000_335934.540000,479.36
WTW_way_46785196,Beverley Waste Water Treatment Works,wastewater_plant,53.8378439,-0.4035713,NODE_505201.310000_439075.370000,78.72
WTW_way_47074033,Llangoed (Anglesey) WwTW,wastewater_plant,53.2930044,-4.0814218,NODE_261274.120000_379343.040000,91.75
WTW_way_47130030,Maidenhead Sewage Treatment Works,wastewater_plant,51.5152515,-0.7137746,NODE_489446.750000_180683.130000,323.29
WTW_way_47130119,Bron Ogwen SPS CSO,wastewater_plant,53.1849141,-4.0787084,NODE_261204.220000_367400.160000,71.24
WTW_way_48363516,Madeley Sewage Treatment Works,wastewater_plant,53.0031733,-2.3447449,NODE_377235.480000_344912.270000,361.38
WTW_way_48834466,Unnamed Facility (48834466),wastewater_plant,50.766684,-1.8799652,NODE_408726.510000_96168.060000,247.46
WTW_way_49202156,East Ogwell Waste Water Treatment Works,wastewater_plant,50.5243315,-3.6383376,NODE_284109.300000_70885.270000,253.12
WTW_way_49217376,North Bovey Waste Water Treatment Works,wastewater_plant,50.6399184,-3.7799287,NODE_274460.650000_83704.450000,230.89
WTW_way_49499350,Coleshill (STW),wastewater_plant,52.5201246,-1.7128269,NODE_419408.870000_291401.900000,173.56
WTW_way_49777899,Unnamed Facility (49777899),water_works,51.353055,-2.340778,NODE_376399.580000_161612.560000,34.32
WTW_way_49777900,Unnamed Facility (49777900),water_works,51.3536363,-2.3412586,NODE_376399.580000_161612.560000,90.89
WTW_way_50245282,Sewage Works,wastewater_plant,51.2665194,-0.737452,NODE_488154.940000_152869.320000,184.73
WTW_way_50825342,Bran Sands Sewage Treatment Works,wastewater_plant,54.6092642,-1.125102,NODE_456512.840000_523805.560000,346.99
WTW_way_51038631,Winsley WwTW,wastewater_plant,51.338375,-2.2916345,NODE_379414.840000_160021.460000,371.21
WTW_way_51179702,Box Wastewater Treament Works,wastewater_plant,51.4184067,-2.255933,NODE_382340.680000_168773.720000,89.24
WTW_way_51352860,Bovey Cross Water Treatment Works,water_works,50.6489809,-3.7789852,NODE_274428.440000_84361.420000,417.68
WTW_way_51818199,Whalley STW,wastewater_plant,53.8225372,-2.4245094,NODE_372083.470000_436214.440000,137.65
WTW_way_52047494,Arborfield Wastewater Treatment Works,wastewater_plant,51.4007223,-0.8965897,NODE_477084.520000_167281.510000,275.69
WTW_way_53353795,Billington STW,wastewater_plant,53.8211854,-2.435472,NODE_371478.840000_435948.170000,244.52
WTW_way_53747822,Unnamed Facility (53747822),wastewater_plant,53.8579844,-2.4110585,NODE_372569.090000_440274.810000,491.47
WTW_way_56117482,Maple Cross Sewage Treatment Works,wastewater_plant,51.6189189,-0.4993418,NODE_504238.280000_192216.110000,250.84
WTW_way_56464114,Selby Water Treatment Works,wastewater_plant,53.7741336,-1.0387937,NODE_463254.580000_430858.320000,474.55
WTW_way_57045780,Goole-Rawcliffe Water Treatment Works,wastewater_plant,53.6937034,-0.9511062,NODE_469774.560000_422291.140000,438.88
WTW_way_58476180,East Ham Water Treatment Works,water_works,51.5386465,0.0711562,NODE_543743.990000_184055.170000,171.59
WTW_way_59512076,Hambleton Sewage Treatment Works,wastewater_plant,53.776077,-1.1487532,NODE_456346.920000_431536.350000,192.18
WTW_way_59688794,Unnamed Facility (59688794),wastewater_plant,56.4337812,-4.7092324,NODE_233004.430000_730133.740000,41.21
WTW_way_59688864,Unnamed Facility (59688864),wastewater_plant,56.4336962,-4.7094087,NODE_233004.430000_730133.740000,30.45
WTW_way_60625656,Guildford Sewage Treatment Works,wastewater_plant,51.2552892,-0.5667105,NODE_500455.470000_151879.640000,406.19
WTW_way_60677402,Avon Dassett Sewage Treatment Works,wastewater_plant,52.1413105,-1.4082841,NODE_440341.990000_249481.620000,265.86
WTW_way_62004228,Godalming Sewage Treatment Works,wastewater_plant,51.1991933,-0.5757782,NODE_499286.300000_145542.730000,346.2
WTW_way_63455501,Ashlett Creek Fawley WTW,wastewater_plant,50.8253281,-1.3400316,NODE_446628.800000_103280.140000,211.88
WTW_way_67803300,Unnamed Facility (67803300),water_works,53.7116982,-2.2015575,NODE_386652.280000_423905.000000,145.27
WTW_way_67803301,Unnamed Facility (67803301),water_works,53.7120697,-2.200742,NODE_386652.280000_423905.000000,208.89
WTW_way_67803302,Unnamed Facility (67803302),water_works,53.7122538,-2.2013964,NODE_386652.280000_423905.000000,179.04
WTW_way_68579476,Ascot Sewage Treatment Works,wastewater_plant,51.4056437,-0.7180779,NODE_488955.500000_168229.040000,309.93
WTW_way_69079349,Wrestlingworth STW,wastewater_plant,52.1042552,-0.1687175,NODE_525838.040000_247030.800000,471.57
WTW_way_70461894,Fobney Water Treatment Works,water_works,51.4350448,-0.9856378,NODE_470605.690000_171072.920000,86.45
WTW_way_75766009,Unnamed Facility (75766009),wastewater_plant,51.9273596,-0.6706107,NODE_491289.010000_226372.130000,244.75
WTW_way_78283578,Unnamed Facility (78283578),water_works,51.3921632,-2.4104767,NODE_371706.900000_165719.500000,314.01
WTW_way_83804414,Unnamed Facility (83804414),wastewater_plant,50.9817326,-0.6929939,NODE_491988.400000_121043.900000,146.92
WTW_way_83822593,Countess Wear Sewage Treatment Works,wastewater_plant,50.6911009,-3.4904671,NODE_294790.670000_89267.230000,268.35
WTW_way_87512763,Stanley Sewage Treatment Works,wastewater_plant,53.7091791,-1.4675376,NODE_435090.880000_424044.470000,315.08
WTW_way_87599598,Barkershaugh sewage treatment works,wastewater_plant,54.7835417,-1.5682095,NODE_428120.130000_543408.420000,288.61
WTW_way_87786305,Haslemere STW,wastewater_plant,51.0851776,-0.7459128,NODE_488111.400000_132540.660000,180.17
WTW_way_88946357,Unnamed Facility (88946357),wastewater_plant,57.331932,-4.4658459,NODE_251725.540000_829801.230000,295.79
WTW_way_89403729,Cog Moors Wastewater Treatment Works,wastewater_plant,51.4190453,-3.2086165,NODE_316098.150000_169397.010000,193.66
WTW_way_89632774,Alnmouth WwTW,wastewater_plant,55.3963189,-1.6210194,NODE_423834.880000_611589.870000,307.65
WTW_way_90200650,Chapmore End Wastewater Treatment Works,wastewater_plant,51.8336934,-0.067809,NODE_533204.200000_216705.920000,71.85
WTW_way_90264046,Unnamed Facility (90264046),wastewater_plant,57.099332,-2.615392,NODE_362707.760000_801029.050000,126.95
